PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,__ParsedDate__,Year,Month,MonthName,YearMonth,Quarter,_SpendTemp_,__Delivery__,LeadDays
PO-00065,Delta_Logistics,11/9/2023,11/12/2023,Packaging,Delivered,1347,100.13,94.3,200,Yes,9/11/2023,2023,9,Sep,2023-09,2023Q3,100.13,12/11/2023,91
PO-00066,Gamma_Co,8/22/2022,8/25/2022,Office Supplies,Partially Delivered,437,59.51,56.45,25,No,8/22/2022,2022,8,Aug,2022-08,2022Q3,59.51,8/25/2022,3
PO-00067,Alpha_Inc,10/24/2022,10/26/2022,Electronics,Delivered,650,103.84,88.28,12,Yes,10/24/2022,2022,10,Oct,2022-10,2022Q4,103.84,10/26/2022,2
PO-00068,Beta_Supplies,3/23/2022,4/11/2022,Office Supplies,Delivered,365,16.81,15.41,38,Yes,3/23/2022,2022,3,Mar,2022-03,2022Q1,16.81,11/4/2022,226
PO-00069,Epsilon_Group,8/27/2022,,Raw Materials,Cancelled,63,61.94,53.8,,Yes,8/27/2022,2022,8,Aug,2022-08,2022Q3,61.94,,
PO-00070,Alpha_Inc,4/14/2022,4/22/2022,MRO,Delivered,291,98.7,87.02,9,Yes,4/14/2022,2022,4,Apr,2022-04,2022Q2,98.7,4/22/2022,8
PO-00071,Alpha_Inc,1/25/2023,2/8/2023,MRO,Cancelled,826,60.5,57.18,18,Yes,1/25/2023,2023,1,Jan,2023-01,2023Q1,60.5,8/2/2023,189
PO-00072,Delta_Logistics,10/12/2022,11/1/2022,Electronics,Pending,1419,69.64,59.28,194,Yes,12/10/2022,2022,12,Dec,2022-12,2022Q4,69.64,1/11/2022,-333
PO-00073,Gamma_Co,4/10/2023,4/27/2023,Office Supplies,Delivered,614,78.06,73.95,40,Yes,10/4/2023,2023,10,Oct,2023-10,2023Q4,78.06,4/27/2023,-160
PO-00074,Alpha_Inc,10/13/2023,10/28/2023,Electronics,Delivered,947,56.25,54.25,19,Yes,10/13/2023,2023,10,Oct,2023-10,2023Q4,56.25,10/28/2023,15
PO-00075,Epsilon_Group,1/9/2023,1/28/2023,Raw Materials,Delivered,1413,70.47,69.65,,Yes,9/1/2023,2023,9,Sep,2023-09,2023Q3,70.47,1/28/2023,-216
PO-00076,Alpha_Inc,6/16/2022,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes,6/16/2022,2022,6,Jun,2022-06,2022Q2,64.15,,
PO-00077,Alpha_Inc,1/15/2023,2/4/2023,Office Supplies,Delivered,1440,96.57,83.87,36,Yes,1/15/2023,2023,1,Jan,2023-01,2023Q1,96.57,4/2/2023,77
PO-00078,Delta_Logistics,12/30/2022,1/3/2023,Raw Materials,Delivered,1005,14.87,12.79,,No,12/30/2022,2022,12,Dec,2022-12,2022Q4,14.87,3/1/2023,61
PO-00079,Alpha_Inc,8/3/2022,,MRO,Delivered,1528,36.52,33,31,No,3/8/2022,2022,3,Mar,2022-03,2022Q1,36.52,,
PO-00080,Gamma_Co,11/18/2023,11/25/2023,MRO,Delivered,1501,106.05,100.99,77,No,11/18/2023,2023,11,Nov,2023-11,2023Q4,106.05,11/25/2023,7
PO-00081,Delta_Logistics,10/1/2022,10/4/2022,Packaging,Delivered,558,94.18,81.4,,No,1/10/2022,2022,1,Jan,2022-01,2022Q1,94.18,4/10/2022,90
PO-00082,Beta_Supplies,12/20/2023,12/26/2023,MRO,Delivered,825,56.88,50.84,,Yes,12/20/2023,2023,12,Dec,2023-12,2023Q4,56.88,12/26/2023,6
PO-00083,Beta_Supplies,12/1/2023,12/7/2023,Electronics,Cancelled,84,73.38,71.42,9,Yes,1/12/2023,2023,1,Jan,2023-01,2023Q1,73.38,7/12/2023,181
PO-00084,Delta_Logistics,10/26/2023,11/10/2023,Raw Materials,Delivered,255,38.64,33.59,27,No,10/26/2023,2023,10,Oct,2023-10,2023Q4,38.64,10/11/2023,-15
PO-00085,Gamma_Co,3/15/2022,3/31/2022,MRO,Delivered,1154,27.2,26.07,58,Yes,3/15/2022,2022,3,Mar,2022-03,2022Q1,27.2,3/31/2022,16
PO-00086,Delta_Logistics,9/16/2023,9/24/2023,Office Supplies,Delivered,1635,56.91,54.37,262,No,9/16/2023,2023,9,Sep,2023-09,2023Q3,56.91,9/24/2023,8
PO-00087,Delta_Logistics,10/13/2023,10/23/2023,Raw Materials,Delivered,1945,46.19,40.12,278,No,10/13/2023,2023,10,Oct,2023-10,2023Q4,46.19,10/23/2023,10
PO-00088,Delta_Logistics,6/25/2022,7/10/2022,MRO,Partially Delivered,1461,64.09,63.39,228,No,6/25/2022,2022,6,Jun,2022-06,2022Q2,64.09,10/7/2022,104
PO-00089,Delta_Logistics,7/1/2023,7/9/2023,Electronics,Delivered,1075,18.53,16.12,147,Yes,1/7/2023,2023,1,Jan,2023-01,2023Q1,18.53,9/7/2023,243
PO-00090,Alpha_Inc,9/8/2022,,Packaging,Delivered,1071,101.6,93.91,25,Yes,8/9/2022,2022,8,Aug,2022-08,2022Q3,101.6,,
PO-00091,Epsilon_Group,6/17/2022,7/6/2022,Packaging,Pending,1463,101.23,86.17,43,Yes,6/17/2022,2022,6,Jun,2022-06,2022Q2,101.23,6/7/2022,-10
PO-00092,Beta_Supplies,4/19/2023,4/26/2023,Raw Materials,Delivered,615,78.3,73.68,69,Yes,4/19/2023,2023,4,Apr,2023-04,2023Q2,78.3,4/26/2023,7
PO-00093,Gamma_Co,1/24/2023,2/11/2023,Electronics,Delivered,1179,61.74,56.28,,Yes,1/24/2023,2023,1,Jan,2023-01,2023Q1,61.74,11/2/2023,282
PO-00094,Alpha_Inc,10/4/2022,10/9/2022,Electronics,Partially Delivered,1845,39.56,37.63,45,Yes,4/10/2022,2022,4,Apr,2022-04,2022Q2,39.56,9/10/2022,153
PO-00095,Beta_Supplies,10/18/2023,,Electronics,Cancelled,1895,91.98,86.27,170,Yes,10/18/2023,2023,10,Oct,2023-10,2023Q4,91.98,,
PO-00096,Epsilon_Group,12/6/2023,12/9/2023,MRO,Partially Delivered,1550,79.86,69.57,32,No,6/12/2023,2023,6,Jun,2023-06,2023Q2,79.86,9/12/2023,92
PO-00097,Delta_Logistics,7/25/2023,8/4/2023,Packaging,Delivered,752,26.85,24.37,,No,7/25/2023,2023,7,Jul,2023-07,2023Q3,26.85,4/8/2023,-108
PO-00098,Epsilon_Group,8/13/2022,9/1/2022,Electronics,Delivered,451,95.2,90.07,21,Yes,8/13/2022,2022,8,Aug,2022-08,2022Q3,95.2,1/9/2022,-216
PO-00099,Beta_Supplies,12/3/2023,,Office Supplies,Delivered,779,93.69,90.92,66,Yes,3/12/2023,2023,3,Mar,2023-03,2023Q1,93.69,,
PO-00100,Beta_Supplies,11/29/2022,12/14/2022,MRO,Pending,1629,100.26,86.44,187,No,11/29/2022,2022,11,Nov,2022-11,2022Q4,100.26,12/14/2022,15
PO-00101,Alpha_Inc,2/27/2022,2/22/2022,Office Supplies,Delivered,211,75.69,65.4,2,Yes,2/27/2022,2022,2,Feb,2022-02,2022Q1,75.69,2/22/2022,-5
PO-00102,Alpha_Inc,8/23/2022,,Office Supplies,Delivered,251,67.49,64.48,2,Yes,8/23/2022,2022,8,Aug,2022-08,2022Q3,67.49,,
PO-00103,Gamma_Co,2/2/2022,2/18/2022,Raw Materials,Delivered,1045,47.88,44.65,69,Yes,2/2/2022,2022,2,Feb,2022-02,2022Q1,47.88,2/18/2022,16
PO-00104,Delta_Logistics,11/20/2022,12/10/2022,MRO,Delivered,319,98.64,89.15,57,Yes,11/20/2022,2022,11,Nov,2022-11,2022Q4,98.64,10/12/2022,-39
PO-00105,Epsilon_Group,2/15/2023,3/1/2023,Office Supplies,Partially Delivered,1936,93.66,92.24,58,Yes,2/15/2023,2023,2,Feb,2023-02,2023Q1,93.66,1/3/2023,-43
PO-00106,Delta_Logistics,10/2/2022,10/22/2022,MRO,Cancelled,865,14.7,13.14,135,No,2/10/2022,2022,2,Feb,2022-02,2022Q1,14.7,10/22/2022,254
PO-00107,Epsilon_Group,3/9/2022,3/12/2022,Electronics,Delivered,1344,12.5,10.87,44,Yes,9/3/2022,2022,9,Sep,2022-09,2022Q3,12.5,12/3/2022,91
PO-00108,Delta_Logistics,8/5/2022,8/24/2022,Raw Materials,Pending,505,45.42,40.37,62,Yes,5/8/2022,2022,5,May,2022-05,2022Q2,45.42,8/24/2022,108
PO-00109,Beta_Supplies,8/4/2023,8/5/2023,Packaging,Delivered,1535,90.83,78.28,151,No,4/8/2023,2023,4,Apr,2023-04,2023Q2,90.83,5/8/2023,30
PO-00110,Beta_Supplies,11/19/2022,,Office Supplies,Delivered,1800,103.8,96.27,166,Yes,11/19/2022,2022,11,Nov,2022-11,2022Q4,103.8,,
PO-00111,Delta_Logistics,8/6/2022,8/15/2022,Raw Materials,Pending,1325,24.36,22.75,206,Yes,6/8/2022,2022,6,Jun,2022-06,2022Q2,24.36,8/15/2022,68
PO-00112,Gamma_Co,11/3/2023,11/9/2023,Raw Materials,Delivered,1066,70.45,65.88,56,No,3/11/2023,2023,3,Mar,2023-03,2023Q1,70.45,9/11/2023,184
PO-00113,Beta_Supplies,5/27/2023,6/11/2023,Raw Materials,Delivered,1775,47.82,45.86,180,Yes,5/27/2023,2023,5,May,2023-05,2023Q2,47.82,11/6/2023,163
PO-00114,Gamma_Co,2/10/2023,,Raw Materials,Partially Delivered,345,103.62,98.09,25,No,10/2/2023,2023,10,Oct,2023-10,2023Q4,103.62,,
PO-00115,Beta_Supplies,10/21/2023,11/9/2023,Electronics,Delivered,1798,94.8,91.83,,Yes,10/21/2023,2023,10,Oct,2023-10,2023Q4,94.8,9/11/2023,-40
PO-00116,Alpha_Inc,4/15/2023,5/1/2023,MRO,Delivered,769,91.86,86.55,17,Yes,4/15/2023,2023,4,Apr,2023-04,2023Q2,91.86,1/5/2023,-100
PO-00117,Alpha_Inc,5/27/2022,,Packaging,Delivered,1822,53.23,47.49,39,Yes,5/27/2022,2022,5,May,2022-05,2022Q2,53.23,,
PO-00118,Delta_Logistics,9/29/2022,10/13/2022,Packaging,Delivered,387,49.23,45.41,61,Yes,9/29/2022,2022,9,Sep,2022-09,2022Q3,49.23,10/13/2022,14
PO-00119,Epsilon_Group,5/23/2022,5/27/2022,MRO,Delivered,928,35.3,32.52,26,Yes,5/23/2022,2022,5,May,2022-05,2022Q2,35.3,5/27/2022,4
PO-00120,Alpha_Inc,9/10/2022,9/21/2022,Packaging,Partially Delivered,1126,15.68,14.97,27,Yes,10/9/2022,2022,10,Oct,2022-10,2022Q4,15.68,9/21/2022,-18
PO-00121,Beta_Supplies,7/29/2023,8/14/2023,Raw Materials,Cancelled,841,95.73,85.33,81,Yes,7/29/2023,2023,7,Jul,2023-07,2023Q3,95.73,8/14/2023,16
PO-00122,Beta_Supplies,7/6/2023,7/19/2023,Electronics,Delivered,1995,90.65,77.75,206,Yes,6/7/2023,2023,6,Jun,2023-06,2023Q2,90.65,7/19/2023,42
PO-00123,Alpha_Inc,9/27/2022,10/15/2022,Raw Materials,Delivered,266,103.97,101.44,6,Yes,9/27/2022,2022,9,Sep,2022-09,2022Q3,103.97,10/15/2022,18
PO-00124,Alpha_Inc,8/22/2023,8/25/2023,Raw Materials,Cancelled,813,109.17,107.39,14,Yes,8/22/2023,2023,8,Aug,2023-08,2023Q3,109.17,8/25/2023,3
PO-00125,Epsilon_Group,3/15/2023,3/26/2023,Electronics,Delivered,237,64.19,59.01,7,Yes,3/15/2023,2023,3,Mar,2023-03,2023Q1,64.19,3/26/2023,11
PO-00126,Alpha_Inc,8/21/2023,9/3/2023,Office Supplies,Cancelled,429,86.73,75.09,9,Yes,8/21/2023,2023,8,Aug,2023-08,2023Q3,86.73,3/9/2023,-165
PO-00127,Delta_Logistics,2/13/2023,2/14/2023,Packaging,Delivered,542,101.21,93.11,78,No,2/13/2023,2023,2,Feb,2023-02,2023Q1,101.21,2/14/2023,1
PO-00128,Epsilon_Group,1/6/2023,1/24/2023,Electronics,Delivered,1114,91.66,85.53,35,Yes,6/1/2023,2023,6,Jun,2023-06,2023Q2,91.66,1/24/2023,-128
PO-00129,Alpha_Inc,8/13/2022,8/15/2022,MRO,Delivered,1230,33.39,30.85,26,Yes,8/13/2022,2022,8,Aug,2022-08,2022Q3,33.39,8/15/2022,2
PO-00130,Beta_Supplies,5/22/2022,6/3/2022,MRO,Delivered,64,51.56,50.88,5,Yes,5/22/2022,2022,5,May,2022-05,2022Q2,51.56,3/6/2022,-77
PO-00131,Alpha_Inc,6/6/2023,6/22/2023,MRO,Delivered,1886,23.46,23.18,,Yes,6/6/2023,2023,6,Jun,2023-06,2023Q2,23.46,6/22/2023,16
PO-00132,Delta_Logistics,5/21/2023,5/23/2023,Office Supplies,Delivered,114,103.53,101.54,14,Yes,5/21/2023,2023,5,May,2023-05,2023Q2,103.53,5/23/2023,2
PO-00133,Delta_Logistics,4/4/2022,4/22/2022,Electronics,Cancelled,1930,65.52,56.9,282,Yes,4/4/2022,2022,4,Apr,2022-04,2022Q2,65.52,4/22/2022,18
PO-00134,Beta_Supplies,2/18/2022,2/28/2022,Office Supplies,Pending,1912,30.73,29.82,191,Yes,2/18/2022,2022,2,Feb,2022-02,2022Q1,30.73,2/28/2022,10
PO-00135,Epsilon_Group,4/23/2022,5/9/2022,MRO,Delivered,570,71.51,66.47,,Yes,4/23/2022,2022,4,Apr,2022-04,2022Q2,71.51,9/5/2022,135
PO-00136,Beta_Supplies,6/6/2022,6/26/2022,Raw Materials,Delivered,1417,67.27,60.62,,Yes,6/6/2022,2022,6,Jun,2022-06,2022Q2,67.27,6/26/2022,20
PO-00137,Alpha_Inc,10/5/2023,10/11/2023,Raw Materials,Delivered,1202,46.67,44.13,21,No,5/10/2023,2023,5,May,2023-05,2023Q2,46.67,11/10/2023,184
PO-00138,Beta_Supplies,6/13/2022,6/14/2022,Office Supplies,Delivered,697,20.73,19.83,78,No,6/13/2022,2022,6,Jun,2022-06,2022Q2,20.73,6/14/2022,1
PO-00139,Epsilon_Group,11/28/2023,12/1/2023,MRO,Delivered,1545,78.19,76.91,42,Yes,11/28/2023,2023,11,Nov,2023-11,2023Q4,78.19,1/12/2023,-320
PO-00140,Gamma_Co,3/9/2023,3/13/2023,MRO,Partially Delivered,1136,60.81,58.25,62,Yes,9/3/2023,2023,9,Sep,2023-09,2023Q3,60.81,3/13/2023,-174
PO-00141,Beta_Supplies,9/3/2023,9/7/2023,MRO,Delivered,1212,87.46,74.55,118,No,3/9/2023,2023,3,Mar,2023-03,2023Q1,87.46,7/9/2023,122
PO-00142,Epsilon_Group,3/7/2022,3/12/2022,MRO,Delivered,1572,57.38,49.32,40,Yes,7/3/2022,2022,7,Jul,2022-07,2022Q3,57.38,12/3/2022,153
PO-00143,Gamma_Co,1/30/2023,2/9/2023,Electronics,Delivered,642,91.9,81.49,26,Yes,1/30/2023,2023,1,Jan,2023-01,2023Q1,91.9,9/2/2023,215
PO-00144,Epsilon_Group,1/26/2023,2/4/2023,Office Supplies,Delivered,441,63.25,54.12,16,Yes,1/26/2023,2023,1,Jan,2023-01,2023Q1,63.25,4/2/2023,66
PO-00145,Epsilon_Group,9/3/2023,9/19/2023,Office Supplies,Delivered,1748,66.53,57.11,,Yes,3/9/2023,2023,3,Mar,2023-03,2023Q1,66.53,9/19/2023,194
PO-00146,Gamma_Co,4/25/2023,,Electronics,Pending,468,95.57,91.8,24,Yes,4/25/2023,2023,4,Apr,2023-04,2023Q2,95.57,,
